site,depth_num,depth_name,treatment,rep,W1_tube_cap_g,soil_g,W2,W3_resid_tube_soil_7_g,soln_tube_soil_13_g,C3,C4,F,AEC,unique_ID,unique_ID_short,KCl_NO3_blank_corrected_ug_N_L,pH_DI,ph_1M_KCl,bulk_density,years_soy,years_maize,years_since_deforested
MT5?,5,2-Jan,maize,orange,13.0845,0.2078,13.2923,13.7257,43.5377,158.504,6.1113,0.922123613,1.709643894,MT5?_4_5_o,MT5?_4_5,6742.7055,4.88,5.42,1.197955326,14,8,34
MT5?,6,3-Feb,maize,orange,13.0907,0.1943,13.285,13.6712,44.3806,162.802,4.833,0.922123613,1.376102136,MT5?_5_6_o,MT5?_5_6,5291.7365,4.96,5.32,1.174003436,14,8,34
MT5?,7,4-Mar,maize,orange,13.055,0.2214,13.2764,13.735,45.5026,164.138,5.7189,0.922123613,1.50627845,MT5?_6_7_o,MT5?_6_7,1797.242,5.42,5.33,1.182714777,14,8,34
MT5?,8,5-Apr,maize,orange,13.16,0.2198,13.3798,13.7908,45.3822,164.396,5.0653,0.922123613,1.315596804,MT5?_7_8_o,MT5?_7_8,1607.658,5.18,5,1.247164948,14,8,34
MT5?,1,8-Jul,maize,pink,12.9595,0.999,13.9585,14.8255,45.35239,156.371,5.2699,0.922123613,0.091456193,MT5?_0_1_p,MT5?_0_1,307.9583,5,4.24,1.223069874,14,8,34
MT5?,2,0-1,maize,pink,13.0796,0.9988,14.0784,15.1665,48.87129,153.874,8.7414,0.922123613,0.418672193,MT5?_1_2_p,MT5?_1_2,234.87765,4.83,4.8,1.172027491,14,8,34
MT5?,3,0-1,maize,pink,12.9181,0.1627,13.0808,13.4351,35.0925,146.417,8.3731,0.922123613,2.489767149,MT5?_2_3_p,MT5?_2_3,1118.089,4.92,5.26,1.204467354,14,8,34
MT5?,4,2-Jan,maize,pink,12.9715,0.1838,13.1553,13.5429,33.9541,146.488,6.8919,0.922123613,1.440629118,MT5?_3_4_p,MT5?_3_4,4233.1315,4.93,5.44,1.22242268,14,8,34
MT5?,5,3-Feb,maize,pink,13.0308,1.0013,14.0321,14.9178,50.91729,167.709,9.013,0.922123613,0.561811196,MT5?_4_5_p,MT5?_4_5,6742.7055,4.88,5.42,1.197955326,14,8,34
MT5?,6,4-Mar,maize,pink,12.9879,0.9979,13.9858,14.856,49.31029,164.196,8.8836,0.922123613,0.523934677,MT5?_5_6_p,MT5?_5_6,5291.7365,4.96,5.32,1.174003436,14,8,34
